Source,Target,Type,Weight
MlleGillenormand,Gillenormand,Undirected,9
MmePontmercy,Pontmercy,Undirected,1
MmePontmercy,MlleGillenormand,Undirected,1
MlleVaubois,MlleGillenormand,Undirected,1
LtGillenormand,Cosette,Undirected,1
LtGillenormand,Gillenormand,Undirected,1
LtGillenormand,MlleGillenormand,Undirected,2
Marius,Valjean,Undirected,19
Marius,Tholomyes,Undirected,1
Marius,Thenardier,Undirected,2
Marius,Cosette,Undirected,21
Marius,Pontmercy,Undirected,1
Marius,Eponine,Undirected,5
Marius,Gavroche,Undirected,4
Marius,Gillenormand,Undirected,12
Marius,MlleGillenormand,Undirected,6
Marius,LtGillenormand,Undirected,1
BaronessT,Gillenormand,Undirected,1
BaronessT,Marius,Undirected,1
Mabeuf,Eponine,Undirected,1
Mabeuf,Gavroche,Undirected,1
Mabeuf,Marius,Undirected,1
Enjolras,Valjean,Undirected,4
Enjolras,Javert,Undirected,6
Enjolras,Gavroche,Undirected,7
Enjolras,Marius,Undirected,7
Enjolras,Mabeuf,Undirected,1
Combeferre,Gavroche,Undirected,6
Combeferre,Marius,Undirected,5
Combeferre,Mabeuf,Undirected,2
Combeferre,Enjolras,Undirected,15
Prouvaire,Gavroche,Undirected,1
Prouvaire,Enjolras,Undirected,4
Prouvaire,Combeferre,Undirected,2
Feuilly,Gavroche,Undirected,2
Feuilly,Marius,Undirected,1
Feuilly,Mabeuf,Undirected,1
Feuilly,Enjolras,Undirected,6
Feuilly,Combeferre,Undirected,5
Feuilly,Prouvaire,Undirected,2
Courfeyrac,Eponine,Undirected,1
Courfeyrac,Gavroche,Undirected,7
Courfeyrac,Marius,Undirected,9
Courfeyrac,Mabeuf,Undirected,2
Courfeyrac,Enjolras,Undirected,17
Courfeyrac,Combeferre,Undirected,13
Courfeyrac,Prouvaire,Undirected,3
Courfeyrac,Feuilly,Undirected,6
Bahorel,Gavroche,Undirected,5
Bahorel,Marius,Undirected,1
Bahorel,Mabeuf,Undirected,2
Bahorel,Enjolras,Undirected,4
Bahorel,Combeferre,Undirected,5
Bahorel,Prouvaire,Undirected,2
Bahorel,Feuilly,Undirected,3
Bahorel,Courfeyrac,Undirected,6
Bossuet,Valjean,Undirected,1
Bossuet,Gavroche,Undirected,5
Bossuet,Marius,Undirected,5
Bossuet,Mabeuf,Undirected,1
Bossuet,Enjolras,Undirected,10
Bossuet,Combeferre,Undirected,9
Bossuet,Prouvaire,Undirected,2
Bossuet,Feuilly,Undirected,6
Bossuet,Courfeyrac,Undirected,12
Bossuet,Bahorel,Undirected,4
Joly,Gavroche,Undirected,3
Joly,Marius,Undirected,2
Joly,Mabeuf,Undirected,1
Joly,Enjolras,Undirected,5
Joly,Combeferre,Undirected,5
Joly,Prouvaire,Undirected,2
Joly,Feuilly,Undirected,5
Joly,Courfeyrac,Undirected,5
Joly,Bahorel,Undirected,5
Joly,Bossuet,Undirected,7
Grantaire,Gavroche,Undirected,1
Grantaire,Enjolras,Undirected,3
Grantaire,Combeferre,Undirected,1
Grantaire,Prouvaire,Undirected,1
Grantaire,Feuilly,Undirected,1
Grantaire,Courfeyrac,Undirected,2
Grantaire,Bahorel,Undirected,1
Grantaire,Bossuet,Undirected,3
Grantaire,Joly,Undirected,2
MotherPlutarch,Mabeuf,Undirected,3
Gueulemer,Valjean,Undirected,1
Gueulemer,MmeThenardier,Undirected,1
Gueulemer,Thenardier,Undirected,5
Gueulemer,Javert,Undirected,1
Gueulemer,Eponine,Undirected,1
Gueulemer,Gavroche,Undirected,1
Babet,Valjean,Undirected,1
Babet,MmeThenardier,Undirected,1
Babet,Thenardier,Undirected,6
Babet,Javert,Undirected,2
Babet,Eponine,Undirected,1
Babet,Gavroche,Undirected,1
Babet,Gueulemer,Undirected,6
Claquesous,Valjean,Undirected,1
Claquesous,MmeThenardier,Undirected,1
Claquesous,Thenardier,Undirected,4
Claquesous,Javert,Undirected,1
Claquesous,Eponine,Undirected,1
Claquesous,Enjolras,Undirected,1
Claquesous,Gueulemer,Undirected,4
Claquesous,Babet,Undirected,4
Montparnasse,Valjean,Undirected,1
Montparnasse,Thenardier,Undirected,1
Montparnasse,Javert,Undirected,1
Montparnasse,Eponine,Undirected,1
Montparnasse,Gavroche,Undirected,1
Montparnasse,Gueulemer,Undirected,2
Montparnasse,Babet,Undirected,2
Montparnasse,Claquesous,Undirected,2
Toussaint,Valjean,Undirected,1
Toussaint,Cosette,Undirected,2
Toussaint,Javert,Undirected,1
Child1,Gavroche,Undirected,2
Child2,Gavroche,Undirected,2
Child2,Child1,Undirected,3
Brujon,Thenardier,Undirected,3
Brujon,Eponine,Undirected,1
Brujon,Gavroche,Undirected,1
Brujon,Gueulemer,Undirected,3
Brujon,Babet,Undirected,3
Brujon,Claquesous,Undirected,1
Brujon,Montparnasse,Undirected,1
MmeHucheloup,Gavroche,Undirected,1
MmeHucheloup,Enjolras,Undirected,1
MmeHucheloup,Courfeyrac,Undirected,1
MmeHucheloup,Bahorel,Undirected,1
MmeHucheloup,Bossuet,Undirected,1
MmeHucheloup,Joly,Undirected,1
MmeHucheloup,Grantaire,Undirected,1
