Target,Source,Weight,Type
Pankaj K. Agarwal,Dan Halperin,1,Undirected
Otfried Schwarzkopf,Mark T. de Berg,22,Undirected
Mark T. de Berg,Jiri Matousek,5,Undirected
Otfried Schwarzkopf,Jiri Matousek,14,Undirected
Pankaj K. Agarwal,Jiri Matousek,17,Undirected
Pankaj K. Agarwal,Binay K. Bhattacharya,1,Undirected
Pankaj K. Agarwal,Sandeep Sen,2,Undirected
Binay K. Bhattacharya,Sandeep Sen,2,Undirected
Subash Suri,Sylvain Lazard,1,Undirected
Therese C. Biedl,Sylvain Lazard,3,Undirected
Sue H. Whitesides,Sylvain Lazard,3,Undirected
Pankaj K. Agarwal,Sylvain Lazard,1,Undirected
Sylvain Lazard,Steve M. Robbins,4,Undirected
Therese C. Biedl,Subash Suri,1,Undirected
Sue H. Whitesides,Subash Suri,4,Undirected
Subash Suri,Steve M. Robbins,1,Undirected
Sue H. Whitesides,Therese C. Biedl,5,Undirected
Pankaj K. Agarwal,Therese C. Biedl,1,Undirected
Therese C. Biedl,Steve M. Robbins,5,Undirected
Sue H. Whitesides,Pankaj K. Agarwal,2,Undirected
Sue H. Whitesides,Steve M. Robbins,5,Undirected
Pankaj K. Agarwal,Steve M. Robbins,1,Undirected
Pankaj K. Agarwal,Pavan K. Desikan,2,Undirected
Pankaj K. Agarwal,Herbert Edelsbrunner,3,Undirected
Otfried Schwarzkopf,Herbert Edelsbrunner,2,Undirected
Herbert Edelsbrunner,Emo Welzl,24,Undirected
Pankaj K. Agarwal,Alon Efrat,4,Undirected
Micha Sharir,Alon Efrat,19,Undirected
Micha Sharir,Sivan Toledo,11,Undirected
Pankaj K. Agarwal,Sivan Toledo,5,Undirected
Sivan Toledo,Alon Efrat,2,Undirected
Leonidas J. Guibas,David Eppstein,3,Undirected
David Eppstein,Pankaj K. Agarwal,3,Undirected
M. R. Henzinger,David Eppstein,1,Undirected
Leonidas J. Guibas,M. R. Henzinger,1,Undirected
M. R. Henzinger,Pankaj K. Agarwal,1,Undirected
David Eppstein,Jiri Matousek,1,Undirected
Leonidas J. Guibas,Jeff Erickson,2,Undirected
Franco P. Preparata,Jeffrey Scott Vitter,8,Undirected
Michael T. Goodrich,Jeffrey Scott Vitter,6,Undirected
S. Rao Kosaraju,Jeffrey Scott Vitter,1,Undirected
Roberto Tamassia,Jeffrey Scott Vitter,16,Undirected
Franco P. Preparata,Michael T. Goodrich,2,Undirected
Franco P. Preparata,S. Rao Kosaraju,1,Undirected
Franco P. Preparata,Pankaj K. Agarwal,2,Undirected
Franco P. Preparata,Roberto Tamassia,19,Undirected
Michael T. Goodrich,S. Rao Kosaraju,5,Undirected
Michael T. Goodrich,Pankaj K. Agarwal,2,Undirected
Michael T. Goodrich,Roberto Tamassia,19,Undirected
S. Rao Kosaraju,Roberto Tamassia,2,Undirected
Pankaj K. Agarwal,Roberto Tamassia,2,Undirected
Edward F. Grove,Jeffrey Scott Vitter,6,Undirected
T. M. Murali,Edward F. Grove,4,Undirected
Pankaj K. Agarwal,Edward F. Grove,2,Undirected
Leonidas J. Guibas,Marco Pellegrini,2,Undirected
Micha Sharir,Marco Pellegrini,3,Undirected
Pankaj K. Agarwal,Marco Pellegrini,2,Undirected
Leonidas J. Guibas,Micha Sharir,62,Undirected
Sariel Har-Peled,A. Rabinovitch,1,Undirected
Leonidas J. Guibas,A. Rabinovitch,1,Undirected
Micha Sharir,A. Rabinovitch,1,Undirected
Pankaj K. Agarwal,A. Rabinovitch,1,Undirected
Leonidas J. Guibas,Sariel Har-Peled,1,Undirected
Leonidas J. Guibas,Eric Veach,3,Undirected
John E. Hershberger,Eric Veach,1,Undirected
Pankaj K. Agarwal,Eric Veach,1,Undirected
Leonidas J. Guibas,Jeffrey Scott Vitter,1,Undirected
Leonidas J. Guibas,T. M. Murali,1,Undirected
Pankaj K. Agarwal,M. Karia,1,Undirected
Sariel Har-Peled,M. Karia,1,Undirected
Micha Sharir,Kasturi R. Varadarajan,3,Undirected
Kasturi R. Varadarajan,Sariel Har-Peled,3,Undirected
M. Katz,Pankaj K. Agarwal,1,Undirected
Micha Sharir,M. Katz,1,Undirected
Pankaj K. Agarwal,Matthew J. Katz,2,Undirected
Micha Sharir,Matthew J. Katz,11,Undirected
Tycho Strijk,Lars Knipping,1,Undirected
Marc J. van Kreveld,Lars Knipping,1,Undirected
Lars Knipping,Pankaj K. Agarwal,1,Undirected
Lars Knipping,Alexander Wolf,1,Undirected
Marc J. van Kreveld,Tycho Strijk,2,Undirected
Tycho Strijk,Pankaj K. Agarwal,1,Undirected
Tycho Strijk,Alexander Wolf,1,Undirected
Marc J. van Kreveld,Pankaj K. Agarwal,12,Undirected
Marc J. van Kreveld,Alexander Wolf,1,Undirected
Pankaj K. Agarwal,Alexander Wolf,1,Undirected
Mark H. Overmars,Pankaj K. Agarwal,6,Undirected
Marc J. van Kreveld,Mark H. Overmars,27,Undirected
Subash Suri,Mark J. van Kreveld,1,Undirected
Pankaj K. Agarwal,Mark J. van Kreveld,1,Undirected
Rajeev Motwani,Jean-Claude Latombe,9,Undirected
Rajeev Motwani,Pankaj K. Agarwal,1,Undirected
Rajeev Motwani,Prabhakar Raghavan,9,Undirected
Pankaj K. Agarwal,Jean-Claude Latombe,1,Undirected
Prabhakar Raghavan,Jean-Claude Latombe,3,Undirected
Prabhakar Raghavan,Pankaj K. Agarwal,2,Undirected
Subash Suri,Jiri Matousek,2,Undirected
Pankaj K. Agarwal,Cecilia M. Procopiuc,2,Undirected
Prabhakar Raghavan,Hisao Tamaki,2,Undirected
Pankaj K. Agarwal,Hisao Tamaki,1,Undirected
Micha Sharir,Otfried Schwarzkopf,8,Undirected
P. W. Shor,Pankaj K. Agarwal,2,Undirected
Micha Sharir,P. W. Shor,2,Undirected
Micha Sharir,Emo Welzl,23,Undirected
M.-T. Shing,Pankaj K. Agarwal,1,Undirected
R. Agarwala,D. Fernandez-Baca,1,Undirected
A. K. Chandra,Alok Aggarwal,4,Undirected
M. Snir,Alok Aggarwal,3,Undirected
B. Alpern,Alok Aggarwal,1,Undirected
A. K. Chandra,M. Snir,3,Undirected
B. Alpern,A. K. Chandra,1,Undirected
B. Alpern,M. Snir,1,Undirected
D. Kravets,Baruch Schieber,1,Undirected
Baruch Schieber,A. Bar-Noy,1,Undirected
Samir Khuller,Baruch Schieber,1,Undirected
D. Kravets,A. Bar-Noy,1,Undirected
D. Kravets,Alok Aggarwal,3,Undirected
D. Kravets,Samir Khuller,1,Undirected
Alok Aggarwal,A. Bar-Noy,1,Undirected
Samir Khuller,A. Bar-Noy,1,Undirected
Alok Aggarwal,Samir Khuller,1,Undirected
Chee-Keng Yap,Joseph O'Rourke,2,Undirected
Subash Suri,Joseph O'Rourke,10,Undirected
H. Booth,Joseph O'Rourke,6,Undirected
Alok Aggarwal,Joseph O'Rourke,4,Undirected
Chee-Keng Yap,Subash Suri,4,Undirected
Chee-Keng Yap,H. Booth,2,Undirected
Chee-Keng Yap,Alok Aggarwal,5,Undirected
Subash Suri,H. Booth,4,Undirected
Alok Aggarwal,H. Booth,2,Undirected
Alok Aggarwal,J. S. Chang,1,Undirected
Chee-Keng Yap,J. S. Chang,3,Undirected
Bernard Chazelle,Alok Aggarwal,3,Undirected
Leonidas J. Guibas,Bernard Chazelle,37,Undirected
Leonidas J. Guibas,Chee-Keng Yap,3,Undirected
Leonidas J. Guibas,Alok Aggarwal,4,Undirected
Leonidas J. Guibas,Colm O'Dunlaing,2,Undirected
Bernard Chazelle,Chee-Keng Yap,4,Undirected
Bernard Chazelle,Colm O'Dunlaing,2,Undirected
Chee-Keng Yap,Colm O'Dunlaing,12,Undirected
Alok Aggarwal,Colm O'Dunlaing,2,Undirected
Don Coppersmith,Baruch Schieber,2,Undirected
Sanjeev Khanna,Baruch Schieber,2,Undirected
Rajeev Motwani,Baruch Schieber,2,Undirected
Don Coppersmith,Sanjeev Khanna,2,Undirected
Rajeev Motwani,Don Coppersmith,2,Undirected
Don Coppersmith,Alok Aggarwal,2,Undirected
Rajeev Motwani,Sanjeev Khanna,3,Undirected
Sanjeev Khanna,Alok Aggarwal,2,Undirected
Rajeev Motwani,Alok Aggarwal,2,Undirected
Prabhakar Raghavan,Herbert Edelsbrunner,1,Undirected
Prabhakar Raghavan,P. Tiwari,2,Undirected
Prabhakar Raghavan,Alok Aggarwal,2,Undirected
Herbert Edelsbrunner,P. Tiwari,1,Undirected
Herbert Edelsbrunner,Alok Aggarwal,1,Undirected
P. Tiwari,Alok Aggarwal,2,Undirected
Subir Kumar Ghosh,R. K. Shyamasundar,3,Undirected
Alok Aggarwal,R. K. Shyamasundar,1,Undirected
Alok Aggarwal,Subir Kumar Ghosh,1,Undirected
P. W. Shor,Alok Aggarwal,5,Undirected
J. B. Saxe,Alok Aggarwal,2,Undirected
Leonidas J. Guibas,P. W. Shor,2,Undirected
J. B. Saxe,P. W. Shor,2,Undirected
Leonidas J. Guibas,J. B. Saxe,3,Undirected
F. Tom Leighton,M. Hansen,1,Undirected
Alok Aggarwal,M. Hansen,1,Undirected
F. Tom Leighton,Alok Aggarwal,1,Undirected
Alok Aggarwal,M. Hawrylycz,1,Undirected
Hiroshi Imai,Subash Suri,2,Undirected
Hiroshi Imai,Naoki Katoh,5,Undirected
Hiroshi Imai,Alok Aggarwal,2,Undirected
Subash Suri,Naoki Katoh,2,Undirected
Alok Aggarwal,Naoki Katoh,2,Undirected
Alok Aggarwal,M. M. Klawe,5,Undirected
A. Wigderson,Alok Aggarwal,2,Undirected
Alok Aggarwal,D. Lichtenstein,2,Undirected
Nathan Linial,Alok Aggarwal,2,Undirected
A. Wigderson,D. Lichtenstein,2,Undirected
A. Wigderson,M. M. Klawe,2,Undirected
Nathan Linial,A. Wigderson,3,Undirected
M. M. Klawe,D. Lichtenstein,2,Undirected
Nathan Linial,D. Lichtenstein,2,Undirected
Nathan Linial,M. M. Klawe,2,Undirected
R. Wilber,Alok Aggarwal,2,Undirected
Alok Aggarwal,S. Moran,3,Undirected
P. W. Shor,R. Wilber,2,Undirected
P. W. Shor,S. Moran,3,Undirected
P. W. Shor,M. M. Klawe,2,Undirected
R. Wilber,S. Moran,2,Undirected
R. Wilber,M. M. Klawe,2,Undirected
M. M. Klawe,S. Moran,2,Undirected
J. K. Park,Alok Aggarwal,4,Undirected
Sandeep Sen,Alok Aggarwal,1,Undirected
J. K. Park,D. Kravets,2,Undirected
J. K. Park,Sandeep Sen,1,Undirected
D. Kravets,Sandeep Sen,1,Undirected
R. C. Melville,Alok Aggarwal,1,Undirected
P. W. Shor,Subash Suri,1,Undirected
Subash Suri,S. Moran,1,Undirected
C. G. Plaxton,Alok Aggarwal,1,Undirected
Alok Aggarwal,P. Raghawan,1,Undirected
Takeshi Tokuyama,Baruch Schieber,2,Undirected
Takeshi Tokuyama,Alok Aggarwal,4,Undirected
Alok Aggarwal,Jeffrey Scott Vitter,1,Undirected
J. Wein,Alok Aggarwal,1,Undirected
Alexander A. Migdal,Michael E. Agishtein,1,Undirected
Aristides A. G. Requicha,Amitabh Agrawal,1,Undirected
R. Agrawal,A. Swami,2,Undirected
Christos Faloutsos,A. Swami,1,Undirected
R. Agrawal,Christos Faloutsos,1,Undirected
R. Agrawal,D. Gunopulos,1,Undirected
J. Gehrke,D. Gunopulos,1,Undirected
Prabhakar Raghavan,D. Gunopulos,1,Undirected
J. Gehrke,R. Agrawal,1,Undirected
Prabhakar Raghavan,R. Agrawal,1,Undirected
Prabhakar Raghavan,J. Gehrke,1,Undirected
B. Iyer,A. Swami,1,Undirected
T. Imielinski,A. Swami,1,Undirected
A. Ghosh,A. Swami,1,Undirected
T. Imielinski,B. Iyer,1,Undirected
R. Agrawal,B. Iyer,1,Undirected
A. Ghosh,B. Iyer,1,Undirected
T. Imielinski,R. Agrawal,1,Undirected
T. Imielinski,A. Ghosh,1,Undirected
R. Agrawal,A. Ghosh,1,Undirected
S. Shim,K.-I. Lin,1,Undirected
R. Agrawal,K.-I. Lin,1,Undirected
H. S. Sawhney,K.-I. Lin,1,Undirected
S. Shim,R. Agrawal,1,Undirected
S. Shim,H. S. Sawhney,1,Undirected
R. Agrawal,H. S. Sawhney,1,Undirected
R. Aharoni,P. Erdos,2,Undirected
Nathan Linial,P. Erdos,2,Undirected
Nathan Linial,R. Aharoni,2,Undirected
U. Ahlfeld,H.-D. Hecker,5,Undirected
Hee-Kap Ahn,Mark T. de Berg,1,Undirected
Mark T. de Berg,Prosenjit K. Bose,3,Undirected
Siu-Wing Cheng,Mark T. de Berg,1,Undirected
Hee-Kap Ahn,Otfried Schwarzkopf,4,Undirected
Otfried Schwarzkopf,Dan Halperin,3,Undirected
Otfried Schwarzkopf,Prosenjit K. Bose,1,Undirected
Otfried Schwarzkopf,Siu-Wing Cheng,2,Undirected
Hee-Kap Ahn,Dan Halperin,1,Undirected
Hee-Kap Ahn,Prosenjit K. Bose,1,Undirected
Hee-Kap Ahn,Siu-Wing Cheng,2,Undirected
Hee-Kap Ahn,Jiri Matousek,2,Undirected
Dan Halperin,Prosenjit K. Bose,1,Undirected
Siu-Wing Cheng,Dan Halperin,1,Undirected
Dan Halperin,Jiri Matousek,3,Undirected
Siu-Wing Cheng,Prosenjit K. Bose,1,Undirected
Prosenjit K. Bose,Jiri Matousek,1,Undirected
Siu-Wing Cheng,Jiri Matousek,1,Undirected
Antoine Vigneron,Jiri Matousek,1,Undirected
Hee-Kap Ahn,Antoine Vigneron,1,Undirected
Otfried Schwarzkopf,Antoine Vigneron,1,Undirected
Hee-Kap Ahn,Chan-Su Shin,1,Undirected
Otfried Schwarzkopf,Chan-Su Shin,1,Undirected
H. Freeman,J. Ahn,1,Undirected
A. V. Aho,M. R. Garey,1,Undirected
F. K. Hwang,M. R. Garey,1,Undirected
F. K. Hwang,A. V. Aho,1,Undirected
J. D. Ullman,J. E. Hopcroft,3,Undirected
A. V. Aho,J. E. Hopcroft,2,Undirected
J. D. Ullman,A. V. Aho,3,Undirected
C. Nash,A. Ahuja,1,Undirected
D. V. Ahuja,S. A. Coons,1,Undirected
B. An,N. Ahuja,1,Undirected
B. J. Schachter,N. Ahuja,1,Undirected
B. An,B. J. Schachter,1,Undirected
R. T. Chien,N. Ahuja,1,Undirected
R. Yen,N. Ahuja,1,Undirected
N. Birdwell,N. Ahuja,1,Undirected
R. T. Chien,R. Yen,1,Undirected
R. T. Chien,N. Birdwell,1,Undirected
R. Yen,N. Birdwell,1,Undirected
W. Hoff,N. Ahuja,1,Undirected
M. N. S. Swamy,N. Ahuja,1,Undirected
N. Ahuja,J. Veenstra,2,Undirected
R. K. Ahuja,J. B. Orlin,2,Undirected
T. L. Magnanti,J. B. Orlin,2,Undirected
R. K. Ahuja,T. L. Magnanti,2,Undirected
Oswin Aichholzer,Franz Aurenhammer,17,Undirected
Franz Aurenhammer,D. Alberts,1,Undirected
Bernd Gartner,Franz Aurenhammer,1,Undirected
Oswin Aichholzer,D. Alberts,1,Undirected
Oswin Aichholzer,Bernd Gartner,1,Undirected
Bernd Gartner,D. Alberts,1,Undirected
Ferran Hurtado,Oswin Aichholzer,3,Undirected
Oswin Aichholzer,Lyuba S. Alboul,1,Undirected
Ferran Hurtado,Lyuba S. Alboul,1,Undirected
Asish Mukhopadhyay,Franz Aurenhammer,1,Undirected
